"timestamp","rrqm/s","%util","wkB/s","avgrq-sz","svctm","rkB/s","wrqm/s","r/s","await","r_await","w/s","avgqu-sz","w_await"
"1579134671000","0.00","8.11","3000.00","45.70","0.62","0.00","538.70","0.00","1.91","0.00","131.30","0.25","1.91"
"1579134681000","0.00","7.77","3593.60","27.11","0.29","0.00","563.00","0.00","5.76","0.00","265.10","1.53","5.76"
"1579134691000","0.00","27.92","2360.80","51.66","3.05","0.00","430.70","0.00","8.79","0.00","91.40","0.80","8.79"
"1579134701000","0.00","11.05","2782.00","49.37","0.98","0.00","510.50","0.00","2.31","0.00","112.70","0.26","2.31"
"1579134711000","0.00","10.96","4170.80","28.24","0.37","0.00","678.80","0.00","5.46","0.00","295.40","1.61","5.46"
"1579134721000","0.00","22.10","1794.00","63.28","3.90","0.00","359.10","0.00","11.08","0.00","56.70","0.63","11.08"
"1579134731000","0.00","22.09","2893.20","48.14","1.84","0.00","503.10","0.00","6.77","0.00","120.20","0.81","6.77"
"1579134741000","0.00","8.77","2862.00","46.54","0.71","0.00","513.60","0.00","2.28","0.00","123.00","0.28","2.28"
"1579134751000","0.00","5.48","3006.80","25.43","0.23","0.00","477.60","0.00","5.26","0.00","236.50","1.24","5.26"
"1579134761000","0.00","23.10","2496.40","52.72","2.44","0.00","467.10","0.00","6.46","0.00","94.70","0.61","6.46"
"1579134771000","0.00","5.85","2581.20","49.12","0.56","0.00","470.00","0.00","1.94","0.00","105.10","0.20","1.94"
"1579134781000","0.00","8.71","4074.80","28.50","0.30","0.00","655.70","0.00","5.30","0.00","286.00","1.52","5.30"
"1579134791000","0.00","8.28","3127.20","53.59","0.71","0.00","599.80","0.00","1.55","0.00","116.70","0.18","1.55"
"1579134801000","0.00","29.33","2592.00","57.35","3.24","0.00","467.60","0.00","21.02","0.00","90.40","1.90","21.02"
"1579134811000","0.00","9.64","4015.60","28.87","0.35","0.00","646.70","0.00","4.70","0.00","278.20","1.31","4.70"
"1579134821000","0.00","6.30","2406.00","51.36","0.67","0.00","455.80","0.00","1.98","0.00","93.70","0.19","1.98"
"1579134831000","0.00","6.64","2880.00","50.04","0.58","0.00","527.30","0.00","1.71","0.00","115.10","0.20","1.71"
"1579134841000","0.00","50.17","3571.20","26.90","1.89","0.00","563.10","0.00","40.28","0.00","265.50","10.73","40.28"
"1579134851000","0.00","23.83","3214.80","48.02","1.78","0.00","585.60","0.00","4.43","0.00","133.90","0.56","4.43"
"1579134861000","0.00","8.45","2610.80","50.16","0.81","0.00","473.10","0.00","2.95","0.00","104.10","0.31","2.95"
"1579134871000","0.00","8.29","3898.40","28.32","0.30","0.00","628.90","0.00","6.58","0.00","275.30","1.81","6.58"
"1579134881000","0.00","8.81","3048.00","48.92","0.71","0.00","551.40","0.00","2.00","0.00","124.60","0.25","2.00"
"1579134891000","0.00","11.97","2516.80","51.95","1.24","0.00","470.90","0.00","3.82","0.00","96.90","0.37","3.82"
"1579134901000","0.00","5.52","3203.60","26.42","0.23","0.00","504.40","0.00","5.39","0.00","242.50","1.31","5.39"
"1579134911000","0.00","7.78","3032.00","47.30","0.61","0.00","535.70","0.00","1.49","0.00","128.20","0.19","1.49"
"1579134921000","0.00","11.30","2579.20","50.72","1.11","0.00","474.50","0.00","2.82","0.00","101.70","0.29","2.82"
"1579134931000","0.00","5.48","1940.40","58.80","0.83","0.00","377.40","0.00","2.54","0.00","66.00","0.17","2.54"
"1579134941000","0.00","7.73","4182.80","28.03","0.26","0.00","660.80","0.00","4.42","0.00","298.50","1.32","4.42"
"1579134951000","0.00","4.77","2052.35","56.36","0.65","0.00","401.40","0.00","2.50","0.00","72.83","0.18","2.50"
"1579134961000","0.00","7.78","2374.00","47.67","0.78","0.00","425.50","0.00","2.17","0.00","99.60","0.22","2.17"
"1579134971000","0.00","11.62","4572.80","29.01","0.37","0.40","721.90","0.10","5.51","11.00","315.20","1.74","5.51"
"1579134981000","0.00","2.88","1496.40","65.78","0.63","0.00","307.20","0.00","2.49","0.00","45.50","0.11","2.49"
